prefix_tokens,mean_next_token_entropy,silhouette_score,model_id,participation_ratio,effective_rank
120,0.11697328105475695,,Qwen/Qwen2.5-1.5B-Instruct,0.01347332571943601,0.07789772252241771
130,0.12974589489430025,,Qwen/Qwen2.5-1.5B-Instruct,0.013705682009458542,0.08065209289391835
140,0.15352499044048165,,Qwen/Qwen2.5-1.5B-Instruct,0.013797109325726828,0.08177485068639119
150,0.16752997375794323,,Qwen/Qwen2.5-1.5B-Instruct,0.01389926423629125,0.08287003139654796
10,0.0977293852142655,,Qwen/Qwen2.5-0.5B-Instruct,0.0069436441574777874,0.008885917919022697
20,0.1962289730766269,,Qwen/Qwen2.5-0.5B-Instruct,0.01295663629259382,0.018652030399867466
30,0.22074296413486663,,Qwen/Qwen2.5-0.5B-Instruct,0.011797705931322915,0.027934087174279348
40,0.12203030731422825,,Qwen/Qwen2.5-0.5B-Instruct,0.012940495141914912,0.042120209762028286
50,0.14352796494742134,,Qwen/Qwen2.5-0.5B-Instruct,0.015091982270990099,0.05680401410375323
60,0.13798542799984684,,Qwen/Qwen2.5-0.5B-Instruct,0.01751670560666493,0.07110207421439034
70,0.11508601903602927,,Qwen/Qwen2.5-0.5B-Instruct,0.020269291741507395,0.08547307763780866
80,0.141159569263975,,Qwen/Qwen2.5-0.5B-Instruct,0.022182796682630266,0.0952221155166626
90,0.1626601863436767,,Qwen/Qwen2.5-0.5B-Instruct,0.02411355291094099,0.10402647086552211
100,0.13268671747217042,,Qwen/Qwen2.5-0.5B-Instruct,0.026309996843338013,0.11336708068847656
110,0.13913562997413398,,Qwen/Qwen2.5-0.5B-Instruct,0.027978686349732534,0.11988158736910139
120,0.13565162167175893,,Qwen/Qwen2.5-0.5B-Instruct,0.02943002326147897,0.12569660799843924
130,0.14805676777251478,,Qwen/Qwen2.5-0.5B-Instruct,0.030460525836263384,0.13009152242115565
140,0.1782950477577515,,Qwen/Qwen2.5-0.5B-Instruct,0.03118800265448434,0.13283894743238175
150,0.18308450448353247,,Qwen/Qwen2.5-0.5B-Instruct,0.03186422799314771,0.1352339812687465
10,3.7297818422447246e-06,,Qwen/Qwen2.5-3B-Instruct,0.007446310520172119,0.008993276596069336
20,0.056344856117529166,,Qwen/Qwen2.5-3B-Instruct,0.006450715065002441,0.010229053497314454
30,0.15943100536931548,,Qwen/Qwen2.5-3B-Instruct,0.005730328615754843,0.014821074903011322
40,0.09420875632788173,,Qwen/Qwen2.5-3B-Instruct,0.00568373640999198,0.021238207817077637
50,0.10030206001510386,,Qwen/Qwen2.5-3B-Instruct,0.006277853157371283,0.028443193063139915
60,0.1010922777436411,,Qwen/Qwen2.5-3B-Instruct,0.006838657893240452,0.03504806011915207
70,0.09197014884088076,,Qwen/Qwen2.5-3B-Instruct,0.0074745118618011475,0.04165464639663696
80,0.11280142624515588,,Qwen/Qwen2.5-3B-Instruct,0.007935784757137299,0.046679720282554626
90,0.12278444502359254,,Qwen/Qwen2.5-3B-Instruct,0.008324441500008106,0.050773438066244125
100,0.1165870696884838,,Qwen/Qwen2.5-3B-Instruct,0.008612425066530704,0.05410848930478096
110,0.11065224621644873,,Qwen/Qwen2.5-3B-Instruct,0.008937994949519634,0.05711031332612038
120,0.11462105744260534,,Qwen/Qwen2.5-3B-Instruct,0.009212114848196507,0.05995289608836174
130,0.12191116191613545,,Qwen/Qwen2.5-3B-Instruct,0.009372752159833908,0.06192033737897873
140,0.1395813124271274,,Qwen/Qwen2.5-3B-Instruct,0.009593184106051922,0.06385861337184906
150,0.14812049798434548,,Qwen/Qwen2.5-3B-Instruct,0.009691365994513035,0.06488604843616486
